Time	Writhe	Twist	Length
321	4.84778	-4.78446	468.211
322	4.81665	-4.7602	468.336
323	4.79449	-4.74521	467.659
324	4.78598	-4.73768	466.215
325	4.79342	-4.73625	464.271
326	4.81597	-4.74997	462.034
327	4.85259	-4.78817	460.41
328	4.89173	-4.83383	459.576
329	4.91506	-4.85917	459.842
330	4.90814	-4.84885	461.047
331	4.87966	-4.82409	462.732
332	4.8438	-4.78066	463.864
333	4.81322	-4.75082	464.006
334	4.78812	-4.73799	463.292
335	4.77785	-4.73226	461.597
336	4.78417	-4.73101	459.317
337	4.80867	-4.74461	456.884
338	4.84344	-4.78422	455.142
339	4.88551	-4.82694	454.328
340	4.9095	-4.85691	454.759
341	4.90554	-4.8465	456.379
342	4.87661	-4.82441	458.468
343	4.83907	-4.78161	459.935
344	4.80761	-4.74326	460.297
345	4.78362	-4.73152	459.484
346	4.76971	-4.72928	457.707
347	4.77734	-4.72576	455.099
348	4.79835	-4.73963	452.324
349	4.83671	-4.77432	450.321
350	4.87784	-4.8179	449.473
351	4.90309	-4.85066	450.085
352	4.90191	-4.84439	452.024
353	4.87181	-4.81909	454.413
354	4.83456	-4.77318	456.338
355	4.80218	-4.7358	456.883
356	4.77739	-4.72066	456.161
357	4.76456	-4.7205	454.192
358	4.76954	-4.72268	451.424
359	4.79187	-4.73289	448.355
360	4.82777	-4.77154	446.095
361	4.86853	-4.81036	445.065
362	4.89894	-4.84191	445.756
363	4.89739	-4.84547	447.824
364	4.86746	-4.81881	450.764
365	4.83019	-4.77342	452.997
366	4.79774	-4.73028	453.952
367	4.77203	-4.71843	453.392
368	4.76031	-4.71723	451.362
369	4.76362	-4.71882	448.249
370	4.78511	-4.73253	444.878
371	4.82006	-4.7646	442.303
372	4.86243	-4.8004	441.119
373	4.89189	-4.83501	441.771
374	4.89106	-4.84068	444.034
375	4.86342	-4.82058	447.133
376	4.82841	-4.76704	449.83
377	4.79316	-4.72812	451.278
378	4.7676	-4.71203	450.853
379	4.75475	-4.70725	448.884
380	4.75663	-4.71531	445.738
381	4.77756	-4.72708	441.957
382	4.8095	-4.75055	439.109
383	4.85292	-4.7923	437.544
384	4.88371	-4.82669	438.091
385	4.88583	-4.83675	440.401
386	4.85865	-4.8185	443.766
387	4.82468	-4.76845	446.908
388	4.7911	-4.72362	448.731
389	4.76279	-4.702	448.776
390	4.74914	-4.70044	446.887
391	4.75012	-4.70625	443.626
392	4.76772	-4.72107	439.719
393	4.79887	-4.7464	436.393
394	4.84152	-4.7831	434.512
395	4.87219	-4.81423	434.845
396	4.87658	-4.83338	437.111
397	4.85336	-4.81489	440.666
398	4.82003	-4.77036	444.195
399	4.78716	-4.72276	446.532
400	4.75933	-4.69957	446.965
401	4.74279	-4.69164	445.388
402	4.74209	-4.6982	442.172
403	4.75543	-4.71394	437.99
404	4.78599	-4.73642	434.313
405	4.8278	-4.76774	432.088
406	4.86126	-4.80135	431.984
407	4.86667	-4.82136	434.111
408	4.84761	-4.81444	437.762
409	4.8158	-4.76935	441.635
410	4.78207	-4.71761	444.403
411	4.75149	-4.69192	445.377
412	4.73435	-4.68572	444.134
413	4.72815	-4.68612	441.101
414	4.74204	-4.69755	436.803
415	4.77051	-4.72074	432.703
416	4.81145	-4.75548	430.076
417	4.84649	-4.78834	429.574
418	4.85855	-4.81004	431.362
419	4.84329	-4.80631	434.988
420	4.81236	-4.76585	439.247
421	4.77949	-4.71803	442.532
422	4.74593	-4.68531	444.106
423	4.72431	-4.6702	443.232
424	4.71512	-4.66655	440.444
425	4.72644	-4.68156	436.074
426	4.75239	-4.70636	431.617
427	4.79456	-4.74068	428.461
428	4.83097	-4.77421	427.455
429	4.84792	-4.80106	428.965
430	4.83767	-4.80293	432.502
431	4.80845	-4.7664	436.818
432	4.77413	-4.71696	440.713
433	4.73852	-4.67694	442.884
434	4.71153	-4.65576	442.606
435	4.70117	-4.64752	440.014
436	4.7078	-4.66227	435.699
437	4.73464	-4.69101	430.854
438	4.77599	-4.72284	427.152
439	4.81661	-4.76041	425.587
440	4.84061	-4.79094	426.604
441	4.83273	-4.79735	430.084
442	4.80696	-4.76653	434.617
443	4.7695	-4.71203	438.974
444	4.73093	-4.67269	441.758
445	4.6989	-4.64044	442.069
446	4.6834	-4.63123	439.827
447	4.68893	-4.64285	435.534
448	4.71506	-4.66823	430.479
449	4.75627	-4.70803	426.264
450	4.80104	-4.74836	424.097
451	4.82865	-4.77907	424.612
452	4.82668	-4.79137	427.816
453	4.79986	-4.75933	432.54
454	4.76278	-4.70464	437.406
455	4.72029	-4.66234	440.833
456	4.68438	-4.62563	441.734
457	4.66623	-4.6087	439.903
458	4.66881	-4.62088	435.833
459	4.69388	-4.6477	430.405
460	4.73668	-4.68651	425.753
461	4.78477	-4.73108	422.978
462	4.81697	-4.76387	422.97
463	4.81958	-4.7794	425.862
464	4.79465	-4.75329	430.667
465	4.75537	-4.7028	436.031
466	4.70994	-4.65294	440.027
467	4.66809	-4.60688	441.576
468	4.646	-4.58448	440.257
469	4.64702	-4.59658	436.348
470	4.67352	-4.62672	430.738
471	4.71884	-4.67051	425.476
472	4.76797	-4.71768	422.198
473	4.80593	-4.7493	421.541
474	4.81237	-4.76958	424.106
475	4.78982	-4.74748	428.997
476	4.75051	-4.69897	434.693
477	4.69839	-4.64292	439.305
478	4.65249	-4.59268	441.537
479	4.62496	-4.56479	440.735
480	4.62676	-4.57427	436.941
481	4.65179	-4.60058	431.124
482	4.69762	-4.64519	425.388
483	4.75463	-4.70054	421.415
484	4.79474	-4.73529	420.392
485	4.80681	-4.76465	422.533
486	4.78632	-4.74279	427.336
487	4.74391	-4.69059	433.311
488	4.68714	-4.63162	438.621
489	4.63616	-4.57551	441.428
490	4.60583	-4.54515	441.101
491	4.60396	-4.55335	437.686
492	4.6305	-4.57999	431.724
493	4.67836	-4.62555	425.583
494	4.73899	-4.68402	421.028
495	4.78415	-4.72751	419.293
496	4.80006	-4.75778	421.097
497	4.7805	-4.73282	425.831
498	4.7346	-4.68372	432.24
499	4.67282	-4.61772	438.05
500	4.61773	-4.56006	441.466
501	4.5845	-4.52289	441.771
502	4.58089	-4.52661	438.441
503	4.60933	-4.55624	432.466
504	4.65776	-4.60222	425.85
505	4.72036	-4.66653	420.766
506	4.77463	-4.71446	418.461
507	4.7932	-4.75002	419.834
508	4.77445	-4.7263	424.581
509	4.72423	-4.66976	431.256
510	4.65769	-4.60301	437.652
511	4.59777	-4.54141	441.672
512	4.56187	-4.49843	442.396
513	4.55916	-4.50174	439.417
514	4.58588	-4.53165	433.475
515	4.63725	-4.58148	426.401
516	4.70493	-4.65008	420.765
517	4.75991	-4.70618	417.849
518	4.78254	-4.73472	418.881
519	4.76696	-4.71502	423.446
520	4.71139	-4.65716	430.472
521	4.64152	-4.58701	437.277
522	4.57776	-4.51973	441.875
523	4.53819	-4.47705	443.118
524	4.53297	-4.47493	440.413
525	4.5606	-4.50389	434.413
526	4.61734	-4.55389	426.961
527	4.68663	-4.63452	420.688
528	4.74761	-4.69411	417.301
529	4.77395	-4.72458	417.877
530	4.75744	-4.70444	422.44
531	4.6994	-4.63981	429.47
532	4.62384	-4.56933	436.861
533	4.55481	-4.50125	442.081
534	4.51376	-4.45314	443.74
535	4.50816	-4.44639	441.312
536	4.53727	-4.47703	435.206
537	4.59574	-4.53148	427.505
538	4.66877	-4.60853	420.711
539	4.73485	-4.68141	416.828
540	4.76246	-4.7117	417.04
541	4.74762	-4.69461	421.445
542	4.68447	-4.62272	428.765
543	4.60428	-4.54569	436.541
544	4.53093	-4.48118	442.283
545	4.48865	-4.42844	444.297
546	4.48276	-4.4215	442.091
547	4.51293	-4.44996	436.108
548	4.57397	-4.50606	428.161
549	4.65201	-4.59286	420.789
550	4.72142	-4.66754	416.349
551	4.75201	-4.69879	416.185
552	4.73286	-4.67875	420.457
553	4.66785	-4.60638	427.906
554	4.58369	-4.52746	436.104
555	4.50491	-4.45634	442.428
556	4.46286	-4.40423	444.903
557	4.45637	-4.39319	442.922
558	4.48828	-4.42496	436.988
559	4.55225	-4.48317	428.652
560	4.63379	-4.57274	420.9
561	4.70499	-4.65381	415.975
562	4.73974	-4.68798	415.401
563	4.72139	-4.66062	419.565
564	4.65212	-4.58646	427.223
565	4.55903	-4.49766	435.848
566	4.48059	-4.4332	442.596
567	4.43467	-4.37724	445.497
568	4.43028	-4.36513	443.684
569	4.46244	-4.39801	437.767
570	4.52832	-4.45997	429.303
571	4.6135	-4.55222	421.092
572	4.68953	-4.63569	415.68
573	4.72662	-4.66965	414.825
574	4.70559	-4.64529	418.854
575	4.63218	-4.56599	426.614
576	4.5359	-4.47653	435.521
577	4.45439	-4.40553	442.838
578	4.40745	-4.3532	446.031
579	4.40197	-4.33879	444.446
580	4.43782	-4.37319	438.616
581	4.50792	-4.43828	430
582	4.59462	-4.53283	421.291
583	4.67068	-4.61775	415.624
584	4.71296	-4.65465	414.362
585	4.68859	-4.62334	418.342
586	4.60954	-4.54019	426.255
587	4.51238	-4.45379	435.387
588	4.42934	-4.38337	442.906
589	4.37996	-4.3229	446.576
590	4.37422	-4.3109	445.224
591	4.4118	-4.34827	439.368
592	4.48424	-4.41389	430.657
593	4.57486	-4.508	421.698
594	4.65326	-4.60366	415.588
595	4.69322	-4.63178	414.023
596	4.66926	-4.60126	417.805
597	4.58505	-4.51487	425.685
598	4.48371	-4.42105	435.228
599	4.39705	-4.35047	443.119
600	4.34737	-4.29346	446.963
601	4.3434	-4.278	445.911
602	4.3837	-4.31876	440.146
603	4.45876	-4.39236	431.262
604	4.55035	-4.48589	422.023
605	4.63326	-4.5785	415.534
606	4.67053	-4.61261	413.784
607	4.64186	-4.57631	417.427
608	4.55628	-4.4858	425.454
609	4.45282	-4.39376	434.932
610	4.36539	-4.31784	443.114
611	4.31737	-4.26126	447.354
612	4.31518	-4.25245	446.383
613	4.3573	-4.29524	440.625
614	4.43378	-4.36558	431.756
615	4.52651	-4.459	422.223
616	4.61173	-4.55786	415.366
617	4.65121	-4.58908	413.448
618	4.61708	-4.5498	417.092
619	4.52868	-4.45376	425.053
620	4.42206	-4.35871	434.791
621	4.33398	-4.28975	443.173
622	4.28488	-4.2316	447.482
623	4.2855	-4.22327	446.776
624	4.32958	-4.26928	441.121
625	4.40919	-4.34058	432.131
626	4.50506	-4.43948	422.5
627	4.58815	-4.53429	415.472
628	4.62529	-4.56233	413.259
629	4.58992	-4.52244	416.705
630	4.49551	-4.42337	424.815
631	4.38795	-4.32621	434.568
632	4.29954	-4.25339	443.147
633	4.25197	-4.19764	447.803
634	4.25362	-4.19686	447.114
635	4.30193	-4.24479	441.493
636	4.38231	-4.31637	432.475
637	4.47827	-4.41106	422.717
638	4.56375	-4.50881	415.54
639	4.59695	-4.52998	413.134
640	4.55975	-4.49301	416.486
641	4.46295	-4.39213	424.603
642	4.35534	-4.29437	434.48
643	4.26656	-4.21784	443.216
644	4.22251	-4.16755	447.858
645	4.2248	-4.16975	447.323
646	4.2767	-4.22426	441.798
647	4.3569	-4.28929	432.789
648	4.45582	-4.38828	423.015
649	4.54269	-4.48758	415.725
650	4.57382	-4.50116	413.107
651	4.52905	-4.46494	416.515
652	4.43139	-4.36101	424.605
653	4.32325	-4.26097	434.465
654	4.23317	-4.18413	443.215
655	4.19185	-4.13699	448.065
656	4.19806	-4.14478	447.588
657	4.24927	-4.20264	442.086
658	4.33374	-4.26294	433.08
659	4.43529	-4.36799	423.263
660	4.51811	-4.45931	415.808
661	4.54688	-4.47398	413.256
662	4.49586	-4.43908	416.604
663	4.39942	-4.33183	424.616
664	4.28932	-4.22541	434.425
665	4.20562	-4.15602	443.126
666	4.1627	-4.10574	448.077
667	4.17423	-4.12448	447.495
668	4.22821	-4.18062	442.101
669	4.31115	-4.24376	433.021
670	4.41563	-4.34576	423.279
671	4.49719	-4.43676	415.913
672	4.52258	-4.4481	413.217
673	4.46998	-4.41328	416.442
674	4.36919	-4.3008	424.472
675	4.26012	-4.19411	434.293
676	4.17635	-4.12557	442.837
677	4.13746	-4.08316	447.701
678	4.15139	-4.10922	447.235
679	4.20546	-4.1692	441.767
680	4.29069	-4.22233	432.771
681	4.39863	-4.32608	423.094
682	4.4783	-4.4128	415.789
683	4.49912	-4.42588	412.99
684	4.4419	-4.39019	416.365
685	4.34248	-4.27396	424.216
686	4.23457	-4.16948	433.802
687	4.15084	-4.09963	442.237
688	4.11698	-4.0622	446.991
689	4.1326	-4.08951	446.579
690	4.18847	-4.15505	441.2
691	4.27928	-4.20794	432.217
692	4.38602	-4.31293	422.646
693	4.46333	-4.39671	415.432
694	4.48179	-4.4116	412.678
695	4.42083	-4.36834	415.76
696	4.32247	-4.25546	423.593
697	4.21439	-4.14242	433.142
698	4.13204	-4.0791	441.399
699	4.09826	-4.04924	446.124
700	4.11753	-4.08372	445.762
701	4.1771	-4.14132	440.345
702	4.26921	-4.19963	431.585
703	4.37619	-4.30153	422.137
704	4.45603	-4.38712	415.005
705	4.46716	-4.40072	412.268
706	4.40341	-4.35236	415.458
707	4.30615	-4.23704	422.942
708	4.19781	-4.12563	432.252
709	4.11368	-4.06306	440.403
710	4.08493	-4.03871	445.026
711	4.10616	-4.07689	444.589
712	4.16576	-4.13825	439.253
713	4.26233	-4.19014	430.631
714	4.3714	-4.29574	421.401
715	4.44934	-4.37882	414.384
716	4.45873	-4.39315	411.593
717	4.39632	-4.34349	414.688
718	4.29307	-4.22833	422.103
719	4.18579	-4.11674	430.965
720	4.10608	-4.04901	439.014
721	4.07634	-4.03645	443.48
722	4.09889	-4.07599	443.103
723	4.1625	-4.13193	437.742
724	4.25976	-4.18774	429.194
725	4.37142	-4.29125	420.366
726	4.44642	-4.3759	413.578
727	4.45245	-4.38869	410.82
728	4.3867	-4.33818	413.704
729	4.28726	-4.22319	420.922
730	4.17898	-4.10568	429.655
731	4.10229	-4.04371	437.27
732	4.07222	-4.03438	441.58
733	4.09797	-4.07685	441.206
734	4.16144	-4.13501	435.847
735	4.26443	-4.19732	427.539
736	4.37666	-4.29261	418.898
737	4.45052	-4.37614	412.306
738	4.45132	-4.392	409.822
739	4.3861	-4.33189	412.541
740	4.28478	-4.22039	419.619
741	4.17672	-4.10161	427.918
742	4.10003	-4.03827	435.251
743	4.07219	-4.03986	439.464
744	4.09835	-4.08168	438.953
745	4.16421	-4.13393	433.877
746	4.27033	-4.20157	425.726
747	4.38332	-4.29952	417.288
748	4.45669	-4.37654	411.019
749	4.45478	-4.39663	408.69
750	4.38967	-4.33357	411.49
751	4.28587	-4.22632	418.225
752	4.17985	-4.10535	426.215
753	4.10201	-4.03889	433.316
754	4.07372	-4.04282	437.227
755	4.10126	-4.08617	436.649
756	4.1708	-4.14175	431.566
757	4.28015	-4.21454	423.695
758	4.39568	-4.30813	415.565
759	4.46459	-4.38353	409.54
760	4.46059	-4.40286	407.648
761	4.38985	-4.3359	410.368
762	4.28844	-4.22543	416.891
763	4.18017	-4.10436	424.663
764	4.1031	-4.03862	431.402
765	4.07731	-4.05406	434.953
766	4.10685	-4.09543	434.213
767	4.17917	-4.14648	429.19
768	4.28929	-4.22748	421.594
769	4.4032	-4.31887	413.951
770	4.47305	-4.39047	408.402
771	4.46443	-4.41107	406.726
772	4.39576	-4.33368	409.429
773	4.28926	-4.23156	415.792
774	4.18243	-4.1052	423.159
775	4.10804	-4.04067	429.602
776	4.08484	-4.05644	432.896
777	4.11071	-4.1005	432.035
778	4.19092	-4.15824	426.979
779	4.30436	-4.24072	419.726
780	4.41656	-4.33127	412.377
781	4.48029	-4.39748	407.251
782	4.4659	-4.41026	406.05
783	4.39622	-4.33443	408.722
784	4.29144	-4.23318	414.821
785	4.18372	-4.11192	421.855
786	4.10819	-4.04054	428.006
787	4.08768	-4.06644	430.811
788	4.11886	-4.10613	429.814
789	4.20032	-4.16406	424.742
790	4.31509	-4.25847	417.872
791	4.42146	-4.34277	411.09
792	4.48386	-4.40938	406.429
793	4.46817	-4.41317	405.594
794	4.39386	-4.33083	408.422
795	4.28899	-4.2319	414.14
796	4.1858	-4.11528	420.789
797	4.11207	-4.04598	426.554
798	4.09408	-4.07468	428.948
799	4.12656	-4.11271	427.562
800	4.21156	-4.17233	422.786
801	4.325	-4.27379	416.339
802	4.42886	-4.35022	410.074
803	4.48295	-4.41308	405.916
804	4.46727	-4.41585	405.493
805	4.3947	-4.3283	408.228
806	4.28744	-4.22655	413.538
807	4.1844	-4.11697	419.854
808	4.11634	-4.05643	425.131
809	4.09763	-4.08165	427.166
810	4.13328	-4.11461	425.714
811	4.22004	-4.17278	421.139
812	4.33245	-4.27745	415.03
813	4.43203	-4.36112	409.181
814	4.48356	-4.42272	405.482
815	4.4614	-4.41272	405.374
816	4.38886	-4.32131	408.082
817	4.2863	-4.21891	413.077
818	4.18523	-4.12025	419.027
819	4.11802	-4.06603	423.822
820	4.10396	-4.08861	425.361
821	4.14057	-4.12088	423.709
822	4.22857	-4.17591	419.297
823	4.33728	-4.28267	413.777
824	4.43411	-4.36669	408.489
825	4.47965	-4.42445	405.224
826	4.45556	-4.40673	405.423
827	4.38267	-4.31546	408.186
828	4.28282	-4.21583	412.799
829	4.18373	-4.12053	418.301
830	4.1203	-4.07594	422.414
831	4.10643	-4.09885	423.692
832	4.14458	-4.12108	421.908
833	4.2318	-4.17704	417.879
834	4.33551	-4.28568	412.794
835	4.42921	-4.3727	407.897
836	4.47297	-4.42431	405.066
837	4.44952	-4.40308	405.356
838	4.37581	-4.30736	408.145
839	4.27801	-4.20903	412.375
840	4.18321	-4.12309	417.436
841	4.12179	-4.08569	421.039
842	4.10714	-4.10716	422.012
843	4.14651	-4.12199	420.03
844	4.23202	-4.17442	416.28
845	4.33447	-4.28074	411.62
846	4.42546	-4.37124	407.168
847	4.46317	-4.42079	404.773
848	4.4392	-4.39669	405.224
849	4.3684	-4.30106	407.945
850	4.27308	-4.20358	411.895
851	4.18181	-4.12634	416.386
852	4.12422	-4.09613	419.623
853	4.11093	-4.10594	420.22
854	4.14952	-4.12425	418.245
855	4.23293	-4.1717	414.677
856	4.33063	-4.27679	410.288
857	4.41789	-4.3678	406.362
858	4.45419	-4.41799	404.409
859	4.43047	-4.38607	404.853
860	4.36036	-4.29361	407.451
861	4.27129	-4.1958	411.107
862	4.1815	-4.12678	415.184
863	4.12589	-4.10348	417.83
864	4.10946	-4.11213	418.162
865	4.14809	-4.12122	416.162
866	4.22947	-4.16735	412.809
867	4.32354	-4.26908	408.813
868	4.40653	-4.36296	405.34
869	4.44228	-4.41699	403.529
870	4.41976	-4.37401	404.268
